model,url,price,Milage,fuel,Type,max_price
Maruti Suzuki Jimny,https://www.cardekho.com/maruti/jimny,Rs.12.74 - 15.05 Lakh* ,16.39 to 16.94 kmp,Petrol,Manual/Automatic,1505000.0
Maruti Suzuki FRONX,https://www.cardekho.com/maruti/fronx,Rs.7.46 - 13.13 Lakh* ,20.01 to 22.89 kmp,Petrol,Manual/Automatic,1313000.0
Maruti Suzuki Brezza,https://www.cardekho.com/maruti/brezza,Rs.8.29 - 14.14 Lakh* ,19.8 kmpl to 25.51 km/kg,Petrol/CNG,Manual/Automatic,1414000.0
Maruti Suzuki Invicto,https://www.cardekho.com/maruti/invicto,Rs.24.79 - 28.42 Lakh* ,23.24 kmplAutomatic,Petrol,None,2842000.0
Maruti Suzuki Swift,https://www.cardekho.com/maruti/swift,Rs.5.99 - 9.03 Lakh* ,22.38 kmpl to 30.9 km/kg,Petrol/CNG,Manual/Automatic,902999.9999999999
Maruti Suzuki Ertiga,https://www.cardekho.com/carmodels/Maruti/Maruti_Ertiga,Rs.8.64 - 13.08 Lakh* ,20.3 kmpl to 26.11 km/kg,Petrol/CNG,Manual/Automatic,1308000.0
Maruti Suzuki Baleno,https://www.cardekho.com/carmodels/Maruti/Maruti_Baleno,Rs.6.61 - 9.88 Lakh* ,22.35 kmpl to 30.61 km/kg,Petrol/CNG,Manual/Automatic,988000.0000000001
Maruti Suzuki Dzire,https://www.cardekho.com/maruti/swift-dzire,Rs.6.51 - 9.39 Lakh* ,22.41 kmpl to 31.12 km/kg,Petrol/CNG,Manual/Automatic,939000.0
Maruti Suzuki Wagon R,https://www.cardekho.com/maruti/wagon-r,Rs.5.54 - 7.42 Lakh* ,23.56 kmpl to 34.05 km/kg,Petrol/CNG,Manual/Automatic,742000.0
Maruti Suzuki Alto 800,https://www.cardekho.com/carmodels/Maruti/Maruti_Alto_800,Rs.3.54 - 5.13 Lakh* ,22.05 kmpl to 31.59 km/kg,Petrol/CNG,Manual,513000.0
Maruti Suzuki Celerio,https://www.cardekho.com/carmodels/Maruti/Maruti_Celerio,Rs.5.37 - 7.14 Lakh* ,24.97 kmpl to 35.6 km/kg,Petrol/CNG,Manual/Automatic,714000.0
Maruti Suzuki Alto K10,https://www.cardekho.com/maruti/alto-k10,Rs.3.99 - 5.96 Lakh* ,24.39 kmpl to 33.85 km/kg,Petrol/CNG,Manual/Automatic,596000.0
Maruti Suzuki Eeco,https://www.cardekho.com/carmodels/Maruti/Maruti_Eeco,Rs.5.27 - 6.53 Lakh* ,19.71 to,Petrol/CNG,Manual,653000.0
Maruti Suzuki XL6,https://www.cardekho.com/maruti/xl6,Rs.11.56 - 14.82 Lakh* ,20.27 kmpl to 26.32 km/kg,Petrol/CNG,Manual/Automatic,1482000.0
Maruti Suzuki S-Presso,https://www.cardekho.com/maruti/s-presso,Rs.4.26 - 6.12 Lakh* ,24.12 kmpl to 32.73 km/kg,Petrol/CNG,Manual/Automatic,612000.0
Maruti Suzuki Ignis,https://www.cardekho.com/carmodels/Maruti/Maruti_Ignis,Rs.5.84 - 8.16 Lakh* ,20.89 kmplManual,Petrol,Manual/Automatic,816000.0
Maruti Suzuki Ciaz,https://www.cardekho.com/carmodels/Maruti/Maruti_Ciaz,Rs.9.30 - 12.29 Lakh* ,20.04 to 20.65 kmp,Petrol,Manual/Automatic,1229000.0
Maruti Suzuki Ertiga Tour,https://www.cardekho.com/maruti/ertiga-tour,Rs.9.75 - 10.70 Lakh* ,18.04 kmpl to 26.08 km/kg,Petrol/CNG,Manual,1070000.0
Maruti Suzuki Alto 800 tour,https://www.cardekho.com/maruti/alto-800-tour,Rs.4.20 Lakh* ,22.05 kmplManual,Petrol,Manual,420000.0
Maruti Suzuki Super Carry,https://www.cardekho.com/maruti/super-carry,Rs.5.16 - 6.30 Lakh* ,None,Petrol/CNG,Manual,630000.0
Maruti Suzuki Eeco Cargo,https://www.cardekho.com/maruti/eeco-cargo,Rs.5.42 - 6.74 Lakh* ,20.2 kmpl to 27.05 km/kg,Petrol/CNG,Manual,674000.0
Maruti Suzuki Wagon R tour,https://www.cardekho.com/maruti/wagon-r-tour,Rs.5.51 - 6.42 Lakh* ,25.4 kmpl to 34.73 km/kg,Petrol/CNG,Manual,642000.0
Maruti Suzuki Swift Dzire Tour,https://www.cardekho.com/maruti/swift-dzire-tour,Rs.6.51 - 7.36 Lakh* ,23.15 kmpl to 31.12 km/kg,Petrol/CNG,Manual,736000.0
Maruti Suzuki Grand Vitara,https://www.cardekho.com/carmodels/Maruti/Maruti_Grand_Vitara,Rs.10.70 - 19.79 Lakh* ,19.38 to 27.97 kmp,Petrol/CNG,Manual/Automatic,1979000.0
Maruti Swift 2023,https://www.cardekho.com/maruti/swift-2023,Rs6 Lakh* ,None,None,None,600000.0
Maruti Swift Hybrid,https://www.cardekho.com/maruti/swift-hybrid,Rs10 Lakh* ,None,None,None,1000000.0
Maruti eVX,https://www.cardekho.com/maruti/evx,Rs25 Lakh* ,None,None,None,2500000.0
Maruti XL5,https://www.cardekho.com/maruti/xl5,Rs5 Lakh* ,None,None,None,500000.0
Maruti WagonR Electric,https://www.cardekho.com/maruti/wagonr-electric,Rs8.50 Lakh* ,None,None,None,850000.0
Hyundai Creta,https://www.cardekho.com/hyundai/creta,Rs.10.87 - 19.20 Lakh* ,16.8 kmplManual,Petrol,Manual/Automatic,1920000.0
Hyundai Verna,https://www.cardekho.com/hyundai/verna,Rs.10.96 - 17.38 Lakh* ,18.6 to 20.6 kmp,Petrol,Manual/Automatic,1738000.0
Hyundai Venue,https://www.cardekho.com/hyundai/venue,Rs.7.72 - 13.18 Lakh* ,None,Petrol,Manual/Automatic,1318000.0
Hyundai i20,https://www.cardekho.com/carmodels/Hyundai/Hyundai_i20,Rs.7.46 - 11.88 Lakh* ,19.65 to 21.0 kmp,Petrol,Manual/Automatic,1188000.0
Hyundai Aura,https://www.cardekho.com/hyundai/aura,Rs.6.33 - 8.90 Lakh* ,None,Petrol/CNG,Manual/Automatic,890000.0
Hyundai Alcazar,https://www.cardekho.com/hyundai/alcazar,Rs.16.77 - 21.13 Lakh* ,20.4 kmplManual,Petrol,Manual/Automatic,2113000.0
Hyundai Tucson,https://www.cardekho.com/hyundai/tucson,Rs.28.63 - 35.46 Lakh* ,None,Petrol,None,3546000.0
Hyundai Kona Electric,https://www.cardekho.com/hyundai/kona,Rs.23.84 - 24.03 Lakh* ,None,None,None,2403000.0
Hyundai Venue N Line,https://www.cardekho.com/hyundai/venue-n-line,Rs.12.67 - 13.81 Lakh* ,None,Petrol,None,1381000.0
Hyundai Grand i10 Nios,https://www.cardekho.com/hyundai/grand-i10-nios,Rs.5.73 - 8.51 Lakh* ,None,Petrol/CNG,Manual/Automatic,851000.0
Hyundai i20 N Line,https://www.cardekho.com/hyundai/i20-n-line,Rs.10.19 - 12.31 Lakh* ,20.0 to 20.25 kmp,Petrol,Manual/Automatic,1231000.0
Hyundai IONIQ 5,https://www.cardekho.com/hyundai/ioniq-5,Rs.44.95 Lakh* ,None,None,None,4495000.0
Hyundai Exter,https://www.cardekho.com/hyundai/exter,Rs6 Lakh* ,None,None,None,600000.0
Hyundai Palisade,https://www.cardekho.com/hyundai/palisade,Rs40 Lakh* ,None,None,None,4000000.0
Hyundai i20 2023,https://www.cardekho.com/hyundai/i20-2023,Rs7.60 Lakh* ,None,None,None,760000.0
Hyundai i20 N Line 2023,https://www.cardekho.com/hyundai/i20-n-line-2023,Rs10.30 Lakh* ,None,None,None,1030000.0000000001
Hyundai Staria,https://www.cardekho.com/hyundai/staria,Rs20 Lakh* ,None,None,None,2000000.0
Tata Nexon,https://www.cardekho.com/tata/nexon,Rs.7.80 - 14.50 Lakh* ,24.07 kmplManual,Petrol,Manual/Automatic,1450000.0
Tata Punch,https://www.cardekho.com/tata/punch,Rs.6 - 9.52 Lakh* ,20.09 kmplManual,Petrol,Manual/Automatic,952000.0
Tata Harrier,https://www.cardekho.com/tata/harrier,Rs.15 - 24.07 Lakh* ,14.6 to 16.35 kmp,None,Manual/Automatic,2407000.0
Tata Altroz,https://www.cardekho.com/tata/altroz,Rs.6.60 - 10.74 Lakh* ,23.64 kmplManual,Petrol/CNG,Manual/Automatic,1074000.0
Tata Tiago,https://www.cardekho.com/carmodels/Tata/Tata_Tiago,Rs.5.60 - 8.11 Lakh* ,19.0 kmpl to 26.49 km/kg,Petrol/CNG,Manual/Automatic,811000.0
Tata Safari,https://www.cardekho.com/carmodels/Tata/Tata_New_Safari,Rs.15.65 - 25.02 Lakh* ,14.08 to 16.14 kmp,None,Manual/Automatic,2502000.0
Tata Tiago EV,https://www.cardekho.com/tata/tiago-ev,Rs.8.69 - 12.04 Lakh* ,None,None,None,1204000.0
Tata Tigor,https://www.cardekho.com/tata/tigor,Rs.6.30 - 8.90 Lakh* ,19.28 kmpl to 26.49 km/kg,Petrol/CNG,Manual/Automatic,890000.0
Tata Tigor EV,https://www.cardekho.com/tata/tigor-ev,Rs.12.49 - 13.75 Lakh* ,None,None,None,1375000.0
